,name,longitude,latitude,location,geometry
0,Mission Kids Co-op,-122.41720230953848,37.756418550843435,"{""coordinates"": [-122.417202, 37.756419], ""type"": ""Point""}",POINT (-122.4172023095385 37.75641855084343)
1,University Tutor - San Francisco,-122.413628,37.757591999999995,"{""coordinates"": [-122.413628, 37.757592], ""type"": ""Point""}",POINT (-122.413628 37.757592)
2,La Scuola Internazionale Di San Francisco - Mission Campus,-122.41625213623047,37.76214599609375,"{""coordinates"": [-122.416252, 37.762146], ""type"": ""Point""}",POINT (-122.4162521362305 37.76214599609375)
3,Erwan Davon Teachings,-122.41239378333333,37.757230750000005,"{""coordinates"": [-122.412394, 37.757231], ""type"": ""Point""}",POINT (-122.4123937833333 37.75723075000001)
4,Adventures In Clay,-122.41549330822036,37.76293272209496,"{""coordinates"": [-122.415493, 37.762933], ""type"": ""Point""}",POINT (-122.4154933082204 37.76293272209496)
5,Interview Cake,-122.41896057128906,37.764774322509766,"{""coordinates"": [-122.418961, 37.764774], ""type"": ""Point""}",POINT (-122.4189605712891 37.76477432250977)
6,St. James School,-122.42367303338551,37.7518955305962,"{""coordinates"": [-122.423673, 37.751896], ""type"": ""Point""}",POINT (-122.4236730333855 37.7518955305962)
7,Hackbright Academy,-122.41937219670366,37.76489228507121,"{""coordinates"": [-122.419372, 37.764892], ""type"": ""Point""}",POINT (-122.4193721967037 37.76489228507121)
8,Synergy School,-122.42020905017853,37.75082882151011,"{""coordinates"": [-122.420209, 37.750829], ""type"": ""Point""}",POINT (-122.4202090501785 37.75082882151011)
9,the cocktail camp,-122.417919,37.764943,"{""coordinates"": [-122.417919, 37.764943], ""type"": ""Point""}",POINT (-122.417919 37.764943)
10,23rd Street Studio,-122.42641954147925,37.75337225727942,"{""coordinates"": [-122.42642, 37.753372], ""type"": ""Point""}",POINT (-122.4264195414792 37.75337225727942)
11,Children's Day School,-122.42508820413093,37.76403514140482,"{""coordinates"": [-122.425088, 37.764035], ""type"": ""Point""}",POINT (-122.4250882041309 37.76403514140482)
12,Piazza D'Italia,-122.424302,37.751327,"{""coordinates"": [-122.424302, 37.751327], ""type"": ""Point""}",POINT (-122.424302 37.751327)
13,Headstart Pre-school,-122.408986,37.758156,"{""coordinates"": [-122.408986, 37.758156], ""type"": ""Point""}",POINT (-122.408986 37.758156)
14,San Francisco Brightworks,-122.41047263145445,37.76222284641949,"{""coordinates"": [-122.410473, 37.762223], ""type"": ""Point""}",POINT (-122.4104726314545 37.76222284641949)
15,SFBrightworks,-122.41037,37.76211,"{""coordinates"": [-122.41037, 37.76211], ""type"": ""Point""}",POINT (-122.41037 37.76211)
16,Children's Day School (Middle School) Extension,-122.42560029029846,37.75965918477615,"{""coordinates"": [-122.4256, 37.759659], ""type"": ""Point""}",POINT (-122.4256002902985 37.75965918477615)
17,School Marketing Strategies,-122.41824340820312,37.75530242919922,"{""coordinates"": [-122.418243, 37.755302], ""type"": ""Point""}",POINT (-122.4182434082031 37.75530242919922)
18,St. Peter's Catholic School,-122.410331,37.751653999999995,"{""coordinates"": [-122.410331, 37.751654], ""type"": ""Point""}",POINT (-122.410331 37.75165399999999)
19,City College: Castro Campus Rm 119,-122.42913818359375,37.76374435424805,"{""coordinates"": [-122.429138, 37.763744], ""type"": ""Point""}",POINT (-122.4291381835938 37.76374435424805)
20,826 Valencia Writing Room at Everett,-122.42913818359375,37.76374435424805,"{""coordinates"": [-122.429138, 37.763744], ""type"": ""Point""}",POINT (-122.4291381835938 37.76374435424805)
21,San Francisco Friends School,-122.42281421591711,37.768910965521904,"{""coordinates"": [-122.422814, 37.768911], ""type"": ""Point""}",POINT (-122.4228142159171 37.7689109655219)
22,Alta Vista School,-122.42181000000001,37.768822,"{""coordinates"": [-122.42181, 37.768822], ""type"": ""Point""}",POINT (-122.42181 37.768822)
23,Alta Vista School Middle on Mission,-122.418959,37.756044,"{""coordinates"": [-122.418959, 37.756044], ""type"": ""Point""}",POINT (-122.418959 37.756044)
24,John O'Connell High School,-122.41357410531172,37.759408489082126,"{""coordinates"": [-122.413574, 37.759408], ""type"": ""Point""}",POINT (-122.4135741053117 37.75940848908213)
25,Mission High School,-122.42707415138035,37.76157114210878,"{""coordinates"": [-122.427074, 37.761571], ""type"": ""Point""}",POINT (-122.4270741513804 37.76157114210878)
26,Cesar Chavez Elementary School,-122.41542246690052,37.75499840542748,"{""coordinates"": [-122.415422, 37.754998], ""type"": ""Point""}",POINT (-122.4154224669005 37.75499840542748)
